PlantType,Parameter,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
SR,Heat Rate (Btu/kWh),10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455,10455
SR,CAPEX(2012$/MW),4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200,4053200
SR,FOM(2012$/MW/yr),88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710,88710
SR,VOM(2012$/MWh),11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
